,DataPoint 0,DataPoint 1,DataPoint 2,DataPoint 3,DataPoint 4,DataPoint 5,DataPoint 6
0,DWVST_TEST::R0VD1:CURRENT:1MS,DWVST_TEST::R2VD1:CURRENT:1MS,DWVST_TEST::R3VD1:CURRENT:1MS,DWVST_TEST::R4VD1:CURRENT:1MS,DWVST_TEST::R5VD1:CURRENT:1MS,DWVST_TEST::R7VD1:CURRENT:1MS,DWVST_TEST::R9VD1:CURRENT:1MS
1,4.400000095367432,-11.199999809265137,10.100000381469727,19.399999618530273,-10.199999809265137,-23.799999237060547,19.899999618530273
2,,,,,,,
