,Corrector,Cycle_Time,Current,Last_change,PV
0,R0HD1,1.0,27.0,2025-07-04 12:27:14,DWHST_TEST::R0HD1:CURRENT:1MS
1,R2HD1,1.0,-1.8,2025-07-04 12:27:14,DWHST_TEST::R2HD1:CURRENT:1MS
2,R3HD1,1.0,1.0,2025-07-04 12:27:14,DWHST_TEST::R3HD1:CURRENT:1MS
3,R4HD1,1.0,5.6,2025-07-04 12:27:14,DWHST_TEST::R4HD1:CURRENT:1MS
4,R5HD1,1.0,-8.1,2025-07-04 12:27:14,DWHST_TEST::R5HD1:CURRENT:1MS
5,R7HD1,1.0,14.6,2025-07-04 12:27:14,DWHST_TEST::R7HD1:CURRENT:1MS
6,R9HD1,1.0,4.2,2025-07-04 12:27:15,DWHST_TEST::R9HD1:CURRENT:1MS
