,PV,Harmonic,Last_change
77,DWTRIM::F8SIN:AT_TIME:6MS,0,2025-07-04 00:02:18
78,DWTRIM::D7COS:AT_TIME:7MS,0,2025-07-04 00:02:18
79,DWTRIM::D8COS:AT_TIME:7MS,0,2025-07-04 00:02:18
80,DWTRIM::F8COS:AT_TIME:7MS,0,2025-07-04 00:02:18
81,DWTRIM::D7SIN:AT_TIME:7MS,0,2025-07-04 00:02:18
82,DWTRIM::D8SIN:AT_TIME:7MS,0,2025-07-04 00:02:18
83,DWTRIM::F8SIN:AT_TIME:7MS,0,2025-07-04 00:02:18
84,DWTRIM::D7COS:AT_TIME:8MS,0,2025-07-04 00:02:18
85,DWTRIM::D8COS:AT_TIME:8MS,0,2025-07-04 00:02:18
86,DWTRIM::F8COS:AT_TIME:8MS,0,2025-07-04 00:02:18
87,DWTRIM::D7SIN:AT_TIME:8MS,0,2025-07-04 00:02:18
88,DWTRIM::D8SIN:AT_TIME:8MS,0,2025-07-04 00:02:18
89,DWTRIM::F8SIN:AT_TIME:8MS,,
90,DWTRIM::D7COS:AT_TIME:9MS,0,2025-07-04 00:02:18
91,DWTRIM::D8COS:AT_TIME:9MS,0,2025-07-04 00:02:18
92,DWTRIM::F8COS:AT_TIME:9MS,0,2025-07-04 00:02:18
93,DWTRIM::D7SIN:AT_TIME:9MS,0,2025-07-04 00:02:18
94,DWTRIM::D8SIN:AT_TIME:9MS,0,2025-07-04 00:02:18
95,DWTRIM::F8SIN:AT_TIME:9MS,0,2025-07-04 00:02:18
96,DWTRIM::D7COS:AT_TIME:10MS,0,2025-07-04 00:02:18
97,DWTRIM::D8COS:AT_TIME:10MS,0,2025-07-04 00:02:18
98,DWTRIM::F8COS:AT_TIME:10MS,0,2025-07-04 00:02:18
99,DWTRIM::D7SIN:AT_TIME:10MS,0,2025-07-04 00:02:18
100,DWTRIM::D8SIN:AT_TIME:10MS,0,2025-07-04 00:02:18
101,DWTRIM::F8SIN:AT_TIME:10MS,,
